,code,name1,name2,type,name3
12717,015844,HTCXFZZDZA,红土创新丰泽中短债A,债券型-中短债,HONGTUCHUANGXINFENGZEZHONGDUANZHAIA
12718,015845,HTCXFZZDZC,红土创新丰泽中短债C,债券型-中短债,HONGTUCHUANGXINFENGZEZHONGDUANZHAIC
12719,015848,THHYZQFQD,天弘合益债券发起D,债券型-长债,TIANHONGHEYIZHAIQUANFAQID
12720,015849,FGCXQYLHPZHHLOFC,富国创新企业灵活配置混合(LOF)C,混合型-灵活,FUGUOCHUANGXINQIYELINGHUOPEIZHIHUNHELOFC
12721,015850,NYHYLDHHC,农银行业轮动混合C,混合型-偏股,NONGYINHANGYELUNDONGHUNHEC
12722,015851,NHRCYNDKZFQ,南华瑞诚一年定开债发起,债券型-长债,NANHUARUICHENGYINIANDINGKAIZHAIFAQI
12723,015852,HTBRYASGYDKZQ,华泰柏瑞益安三个月定开债券,债券型-长债,HUATAIBAIRUIYIANSANGEYUEDINGKAIZHAIQUAN
12724,015853,HTFWASGYCYZQA,汇添富稳安三个月持有债券A,债券型-混合一级,HUITIANFUWENANSANGEYUECHIYOUZHAIQUANA
12725,015854,HTFWASGYCYZQC,汇添富稳安三个月持有债券C,债券型-混合一级,HUITIANFUWENANSANGEYUECHIYOUZHAIQUANC
12726,015855,HTFWASGYCYZQE,汇添富稳安三个月持有债券E,债券型-混合一级,HUITIANFUWENANSANGEYUECHIYOUZHAIQUANE
12727,015856,GLTZHZTHHA,格林碳中和主题混合A,混合型-偏股,GELINTANZHONGHEZHUTIHUNHEA
12728,015857,GLTZHZTHHC,格林碳中和主题混合C,混合型-偏股,GELINTANZHONGHEZHUTIHUNHEC
12729,015858,PYASSJYNDKZQFQS,浦银安盛盛嘉一年定开债券发起式,债券型-长债,PUYINANSHENGSHENGJIAYINIANDINGKAIZHAIQUANFAQISHI
12730,015859,BYGZZQLTZSFQA,宝盈国证证券龙头指数发起A,指数型-股票,BAOYINGGUOZHENGZHENGQUANLONGTOUZHISHUFAQIA
12731,015860,BYGZZQLTZSFQC,宝盈国证证券龙头指数发起C,指数型-股票,BAOYINGGUOZHENGZHENGQUANLONGTOUZHISHUFAQIC
12732,015861,JSZZTYCDAAAZS7TCYQ,嘉实中证同业存单AAA指数7天持有期,指数型-固收,JIASHIZHONGZHENGTONGYECUNDANAAAZHISHU7TIANCHIYOUQI
12733,015862,JSCCZZTYCDAAAZS7TCY,景顺长城中证同业存单AAA指数7天持有,指数型-固收,JINGSHUNCHANGCHENGZHONGZHENGTONGYECUNDANAAAZHISHU7TIANCHIYOU
12734,015863,HTBRZZTYCDAAAZS7TCYQ,华泰柏瑞中证同业存单AAA指数7天持有期,指数型-固收,HUATAIBAIRUIZHONGZHENGTONGYECUNDANAAAZHISHU7TIANCHIYOUQI
12735,015864,HBZZTYCDAAAZS7TCY,华宝中证同业存单AAA指数7天持有,指数型-固收,HUABAOZHONGZHENGTONGYECUNDANAAAZHISHU7TIANCHIYOU
12736,015865,ZXJTJTZQA,中信建投景泰债券A,债券型-长债,ZHONGXINJIANTOUJINGTAIZHAIQUANA
12737,015866,ZXJTJTZQC,中信建投景泰债券C,债券型-长债,ZHONGXINJIANTOUJINGTAIZHAIQUANC
12738,015867,GTJAZZ1000ZSZQA,国泰君安中证1000指数增强A,指数型-股票,GUOTAIJUNANZHONGZHENG1000ZHISHUZENGQIANGA
12739,015868,GTJAZZ1000ZSZQC,国泰君安中证1000指数增强C,指数型-股票,GUOTAIJUNANZHONGZHENG1000ZHISHUZENGQIANGC
12740,015869,ZYYXYNDKZFQ,中银誉享一年定开债发起,债券型-长债,ZHONGYINYUXIANGYINIANDINGKAIZHAIFAQI
12741,015870,FADXJZZHHFQSA,富安达先进制造混合发起式A,混合型-偏股,FUANDAXIANJINZHIZAOHUNHEFAQISHIA
12742,015871,JSCCGZXNYCDCETFLJA,景顺长城国证新能源车电池ETF联接A,指数型-股票,JINGSHUNCHANGCHENGGUOZHENGXINNENGYUANCHEDIANCHIETFLIANJIEA
12743,015872,JSCCGZXNYCDCETFLJC,景顺长城国证新能源车电池ETF联接C,指数型-股票,JINGSHUNCHANGCHENGGUOZHENGXINNENGYUANCHEDIANCHIETFLIANJIEC
12744,015873,GYGZXNYCDCETFFQSLJA,工银国证新能源车电池ETF发起式联接A,指数型-股票,GONGYINGUOZHENGXINNENGYUANCHEDIANCHIETFFAQISHILIANJIEA
12745,015874,GYGZXNYCDCETFFQSLJC,工银国证新能源车电池ETF发起式联接C,指数型-股票,GONGYINGUOZHENGXINNENGYUANCHEDIANCHIETFFAQISHILIANJIEC
12746,015875,HTFZZTYCDAAAZS7TCYQ,汇添富中证同业存单AAA指数7天持有期,指数型-固收,HUITIANFUZHONGZHENGTONGYECUNDANAAAZHISHU7TIANCHIYOUQI
12747,015876,FGZZXFDZZTETFFQSLJA,富国中证消费电子主题ETF发起式联接A,指数型-股票,FUGUOZHONGZHENGXIAOFEIDIANZIZHUTIETFFAQISHILIANJIEA
12748,015877,FGZZXFDZZTETFFQSLJC,富国中证消费电子主题ETF发起式联接C,指数型-股票,FUGUOZHONGZHENGXIAOFEIDIANZIZHUTIETFFAQISHILIANJIEC
12749,015878,FGZZNYZTETFLJA,富国中证农业主题ETF联接A,指数型-股票,FUGUOZHONGZHENGNONGYEZHUTIETFLIANJIEA
12750,015879,FGZZNYZTETFLJC,富国中证农业主题ETF联接C,指数型-股票,FUGUOZHONGZHENGNONGYEZHUTIETFLIANJIEC
12751,015880,ZOXPCZHHA,中欧小盘成长混合A,混合型-偏股,ZHONGOUXIAOPANCHENGZHANGHUNHEA
12752,015881,ZOXPCZHHC,中欧小盘成长混合C,混合型-偏股,ZHONGOUXIAOPANCHENGZHANGHUNHEC
12753,015882,PAYZ1NCYZQFOFA,平安盈泽1年持有债券(FOF)A,FOF-稳健型,PINGANYINGZE1NIANCHIYOUZHAIQUANFOFA
12754,015883,PAYZ1NCYZQFOFC,平安盈泽1年持有债券(FOF)C,FOF-稳健型,PINGANYINGZE1NIANCHIYOUZHAIQUANFOFC
12755,015884,ZOGGSZJJHHFQQDIIA,中欧港股数字经济混合发起(QDII)A,QDII-混合偏股,ZHONGOUGANGGUSHUZIJINGJIHUNHEFAQIQDIIA
12756,015885,ZOGGSZJJHHFQQDIIC,中欧港股数字经济混合发起(QDII)C,QDII-混合偏股,ZHONGOUGANGGUSHUZIJINGJIHUNHEFAQIQDIIC
12757,015886,FADXJZZHHFQSC,富安达先进制造混合发起式C,混合型-偏股,FUANDAXIANJINZHIZAOHUNHEFAQISHIC
12758,015887,GTRYHYRXHHA,国投瑞银行业睿选混合A,混合型-偏股,GUOTOURUIYINHANGYERUIXUANHUNHEA
12759,015888,GTRYHYRXHHC,国投瑞银行业睿选混合C,混合型-偏股,GUOTOURUIYINHANGYERUIXUANHUNHEC
12760,015889,FGZZ500JBMJXGPFQSA,富国中证500基本面精选股票发起式A,股票型,FUGUOZHONGZHENG500JIBENMIANJINGXUANGUPIAOFAQISHIA
